"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,"Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics","Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195","Plot","Quantitative","Experiment (on farm)","RC","1996-2005","10","3","2","1","3","1","5-10","3-4","Yes","Yes","Soil fertility decline, climate","Australia","High Income Countries",3,"St George, Queensland","Australia","HIC","-28.5","148.75","No","NA","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Rotation","Rotation",1,0,0,"Rotation","Zero tillage; Two levels of N application (0, 70)","Tillage practices","Fertilizer rates/type","Grain / Chickpea","Wheat","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"4-8-0, 74-8-0","Synthetic - below threshold","rainfed",1.16259274,"NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1.1115090000000001","NA","NA","NA","2.3763285019999998","NA","NA","NA",1.1608008,"1.0374326","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""","Grain prices favourable for crop choice","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",NA,"Table 5",NA,2,2,2,2,2,2,12
154,321,"Kutu F.R., Asiwe J.A.N.",2010,"Assessment of maize and dry bean productivity under different intercrop systems and fertilization regimes","Kutu, F. R., & Asiwe, J. A. N. (2010). Assessment of maize and dry bean productivity under different intercrop systems and fertilization regimes. African Journal of Agricultural Research, 5(13), 1627-1631.","Plot","Quantitative","Experiment (research station)","E/M","2006-2008","2","4","3","1","3","1","2-4","3-4","Yes","Yes","Drought, poverty","South Africa","Subsaharan Africa",1,"North West Province","Africa","UMIC","-27.55","24.77","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"75-30-20 to 150-60-40","Synthetic - below threshold","irrigation",1.4272,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.116625,"NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers; farms in highly predictable and highly varied rainfall conditions","NA","Choice of crop varieties: ""reduced competition and increased complementary effects of the crop varieties used for the trial""; Seed inoculation; Use of pesticides "" timely application of nematicide (Counter®) on the field at planting""","Dry conditions (low mean annual rainfall amount and poor distribution in that area during cropping season, required supplementary irrigation); Pests (""nematode and bacterial blight infestations recorded on the field which consequently impacted negatively on the performance of dry bean plants""; soil quality (""worsened by the sandy nature of the soil"")","Planting pattern: ""single dry bean row intercrop system gave the highest productivity based on the total LER values ""","Dry conditions (low mean annual rainfall amount and poor distribution in that area during cropping season, required supplementary irrigation); Pests (""nematode and bacterial blight infestations recorded on the field which consequently impacted negatively on the performance of dry bean plants""; soil quality (""worsened by the sandy nature of the soil"")",NA,NA,NA,2,2,2,2,2,2,12
276,514,"Rusinamhodzi L., Corbeels M., Nyamangara J., Giller K.E.",2012,"Maize-grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique","Rusinamhodzi, L., Corbeels, M., Nyamangara, J., & Giller, K. E. (2012). Maize–grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique. Field Crops Research, 136, 12-22. doi:10.1016/j.fcr.2012.07.014","Field","Quantitative","Experiment (on farm)","RC","2008-2011","3","4","3","1","16","2","2-4","11-100","Yes","Yes","Soil degradation, national policy and development agencies","Mozambique","Subsaharan Africa",1,"Ruaca","Africa","LIC","-18.833333","33.183332999999998","No","""an approach to produce more food per unit resource to achieve positive social outcomes without negative effects on the environment""","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercroppping + Rotation (Maize–pigeonpea)","Intercrop-Rotation",1,0,0,"Within-row","Different fertiliser rates, no tillage","Fertilizer rates/type","Tillage practice","Grain / Pigeonpea","Maize","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"0",NA,"0:0:0 - 60:20:0","Synthetic - below threshold","rainfed",1.03344482,"NA","NA","NA","NA","NA","NA","NA","NA","1.2978723404255321","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.61647727272727293",1.4,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Labour needs vs increased productivity and yields of intercrops","Market price for legumes: ""high selling price for pigeonpea was particularly attractive to farmers as it was four times that of maize""","Labour availability: ""Labour shortages often lead to severe weed pressure which is only controlled by burning the entire field before seeding of the next crop.""","Drought and associated weed infestation of main crop (maize): ""sole maize yields in Ruaca were strongly suppressed (<0.8 t ha−1) by heavy infestation with striga (S. asiatica (L.) Kuntze) that was not observed in the intercrops or the sole pigeonpea plots""; Fertiliser application: ""Pigeonpea yield responded significantly to the largest N input of 60 kg ha−1.""; Poor soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Fertiliser application: ""Pigeonpea yield responded significantly to the largest N input of 60 kg ha−1.""; Market availability: ""In our study area, although maize was commonly sold, it was often sold only when the household food requirements have been achieved whilst pigeonpea could be sold immediately after harvest""","Labour for weeding: ""Weeding time was increased by 36% in intercrops although the
 increase was not related to weed intensity but to the need to take care of pigeonpea which grows slowly compared to maize as well as difficulty in navigating through the crop mixtures.""","""Our results showed that maize–legume intercropping required extra labour compared with sole crops; in Vunduzi land sizes were small and farmers were more likely to meet the labour requirements of intercropping than farmers in Ruaca. In Ruaca, farmers needed to reduce the land cultivated per season to be able to manage the intercropping systems or to hire extra labour. However, the loss in production due to reduction in land area could be compensated by the greater productivity of the intercrops.""","Supporting calc. (Yield, LER); Section 3.4 (H2O runoff); section 3.5 (Labour)",NA,2,2,2,2,2,2,12
277,514,"Rusinamhodzi L., Corbeels M., Nyamangara J., Giller K.E.",2012,"Maize-grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique","Rusinamhodzi, L., Corbeels, M., Nyamangara, J., & Giller, K. E. (2012). Maize–grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique. Field Crops Research, 136, 12-22. doi:10.1016/j.fcr.2012.07.015","Field","Quantitative","Experiment (on farm)","RC","2008-2011","3","4","2","2","12","2","2-4","11-100","Yes","Yes","Soil degradation, national policy and development agencies","Mozambique","Subsaharan Africa",1,"Vunduzi","Africa","LIC","-18.833333","33.183332999999998","Yes","""an approach to produce more food per unit resource to achieve positive social outcomes without negative effects on the environment""","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping (Maize–cowpea)","Intercrop",1,0,0,"Within-row","Different fertiliser rates, no tillage","Tillage practices",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"0:0:0 - 60:20:0","Synthetic - below threshold","rainfed",1.33645833,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.925,"NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","Labour needs vs increased productivity and yields of intercrops","Availability of early-maturing cultivars;","Labour availability: ""Labour shortages often lead to severe weed pressure which is only controlled by burning the entire field before seeding of the next crop.""; Market availability: ""Cowpea matures early which is critical to alleviate the food
 security constraints but had a significantly lower price because it was only sold locally to fellow villagers compared to maize and pigeonpea which had external markets.""","Season (through rainfall distribution) and crop arrangement; Drought: ""In the maize–cowpea intercrops, the poor productivity of maize due to long dry spells reduced competition, which led to relatively greater cowpea productivity""; Fertiliser application: ""maize completely failed due to a prolonged dry spell lasting more than 55 days, yet cowpea survived and gave a significant harvest especially in plots where N and P fertiliser was applied"" ""Cowpea responded significantly to the application of N and P fertiliser in the seasons when it was harvested. ""; time of planting: ""maturity coincided with favourable moisture conditions later in the season; Poor soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Fertiliser application: ""maize completely failed due to a prolonged dry spell lasting more than 55 days, yet cowpea survived and gave a significant harvest especially in plots where N and P fertiliser was applied""; Erratic rainfall: ""Cowpea was harvested when maize totally failed in Vunduzi in 2009/2010 season suggesting that relay planted intercropping with short duration crops such as cowpea can reduce risk of crop failure under erratic rainfall""; Market availability: ""In our study area, although maize was commonly sold, it was often sold only when the household food requirements have been achieved whilst pigeonpea could be sold immediately after harvest""","Labour for weeding: ""Weeding time was increased by 36% in intercrops although the
 increase was not related to weed intensity but to the need to take care of pigeonpea which grows slowly compared to maize as well as difficulty in navigating through the crop mixtures.""","""Our results showed that maize–legume intercropping required extra labour compared with sole crops; in Vunduzi land sizes were small and farmers were more likely to meet the labour requirements of intercropping than farmers in Ruaca. In Ruaca, farmers needed to reduce the land cultivated per season to be able to manage the intercropping systems or to hire extra labour. However, the loss in production due to reduction in land area could be compensated by the greater productivity of the intercrops.""","Supporting calc. (Yield, LER); Section 3.4 (H2O runoff); section 3.5 (Labour)",NA,2,2,2,2,2,2,12
186,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,"Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe","Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243","Plot","Quantitative","Experiment (on farm)","E/M","2003-2004","2","3","1","2","3","3","2-4","5-10","Yes","Yes","Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)","Zimbabwe","Subsaharan Africa",1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)","Africa","LMIC","-18.166667","32.416666999999997","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Inter-row","Different intercropping arrangements","Varied spacing/timing",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"40315","Synthetic - below threshold","rainfed",0.87174295,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.93967514600000002","NA","NA","NA",1.22,"NA","NA","NA","NA","NA","NA","NA","Lose-Mix","NA","NA","NA","NA","NA","NA","NA","poor soil fertility","Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather - irrigation may increase productivity during dry periods","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather/low rainfall",NA,"Sup. Calc (Table 1)",NA,2,2,2,2,2,2,12
187,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,"Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe","Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243","Plot","Quantitative","Experiment (on farm)","E/M","2003-2004","2","3","1","2","3","3","2-4","5-10","Yes","Yes","Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)","Zimbabwe","Subsaharan Africa",1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)","Africa","LMIC","-18.166667","32.416666999999997","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Different intercropping arrangements","Varied spacing/timing",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"40315","Synthetic - below threshold","rainfed",0.83893614,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.91965605100000003","NA","NA","NA",1.24,"NA","NA","NA","NA","NA","NA","NA","Lose-Mix","NA","NA","NA","NA","NA","NA","NA","poor soil fertility","Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather - irrigation may increase productivity during dry periods","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather/low rainfall",NA,"Sup. Calc (Table 1)",NA,2,2,2,2,2,2,12
188,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,"Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe","Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243","Plot","Quantitative","Experiment (on farm)","E/M","2003-2004","2","5","3","2","3","3","2-4","5-10","Yes","Yes","Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)","Zimbabwe","Subsaharan Africa",1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)","Africa","LMIC","-18.166667","32.416666999999997","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,1,0,"Strip","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"40315","Synthetic - below threshold","rainfed",0.97007335,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.089019701","NA","NA","NA",1.54,"NA","NA","NA","NA","NA","NA","NA","Lose-Win","NA","NA","NA","NA","NA","NA","NA","poor soil fertility","Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather - irrigation may increase productivity during dry periods","Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row","Dry weather/low rainfall",NA,"Sup. Calc  / Table 1",NA,2,2,2,2,2,2,12
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Groundnut","Cassava","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation",0.914141414141414,"NA","NA","NA","NA","NA","NA","NA","NA","1.0581255000000001","NA","1.0514950000000001","1.6041666999999999","NA","NA","NA","3.0375000000000001","NA","NA","NA",1.6,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Soybean","Cassava","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation",0.843434343434343,"NA","NA","NA","NA","NA","NA","NA","NA","0.96145119999999995","NA","1.0830565000000001","1.0625","NA","NA","NA","1.2749999999999999","NA","NA","NA",1.45,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Mungbean","Cassava","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation",0.848484848484849,"NA","NA","NA","NA","NA","NA","NA","NA","0.96659110000000004","NA","1.0472868","1.2083333000000001","NA","NA","NA","0.67500000000000004","NA","NA","NA",1.59,"NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
